Date,Branch,Value,Department
24-01-16,Detroit MI,3.9,Breads
24-01-16,Detroit MI,3.9,Breads
24-01-16,Detroit MI,3.9,Breads
24-01-16,Detroit MI,3.9,Breads
24-01-16,Detroit MI,4.9,Breads
24-01-16,Detroit MI,5.85,Breads
24-01-16,Detroit MI,5.85,Breads
24-01-16,Detroit MI,5.85,Breads
24-01-16,Detroit MI,5.85,Breads
24-01-16,Detroit MI,1,Breads
24-01-16,Detroit MI,1,Breads
24-01-16,Detroit MI,1,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,2.95,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,4.9,Breads
25-01-16,Houston TX,4.9,Breads
25-01-16,Houston TX,4.95,Breads
25-01-16,Houston TX,5.85,Breads
25-01-16,Houston TX,5.85,Breads
25-01-16,Phoenix AZ,6.85,Breads
25-01-16,Phoenix AZ,6.85,Breads
25-01-16,Phoenix AZ,6.85,Breads
25-01-16,Phoenix AZ,7.8,Breads
25-01-16,Phoenix AZ,7.8,Breads
25-01-16,Phoenix AZ,1,Breads
25-01-16,Phoenix AZ,1,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Atlanta GA,2.95,Breads
25-01-16,Atlanta GA,2.95,Breads
25-01-16,Atlanta GA,2.95,Breads
25-01-16,Atlanta GA,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.95,Breads
25-01-16,Houston TX,4.9,Breads
25-01-16,Houston TX,5.85,Breads
25-01-16,Houston TX,5.85,Breads
25-01-16,Phoenix AZ,7.8,Breads
25-01-16,Phoenix AZ,1,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,5.85,Breads
25-01-16,Houston TX,1,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Phoenix AZ,1,Breads
25-01-16,Phoenix AZ,1,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Phoenix AZ,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,3.9,Breads
25-01-16,Atlanta GA,3.9,Breads
25-01-16,Atlanta GA,3.9,Breads
25-01-16,Atlanta GA,3.9,Breads
25-01-16,Atlanta GA,4.9,Breads
25-01-16,Atlanta GA,6.85,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Atlanta GA,1,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,1.95,Breads
25-01-16,Atlanta GA,2,Breads
25-01-16,Atlanta GA,3.9,Breads
25-01-16,Detroit MI,3.9,Breads
25-01-16,Detroit MI,3.9,Breads
25-01-16,Detroit MI,3.9,Breads
25-01-16,Detroit MI,3.9,Breads
25-01-16,Detroit MI,3.9,Breads
25-01-16,Detroit MI,3.95,Breads
25-01-16,Detroit MI,5.85,Breads
25-01-16,Detroit MI,5.85,Breads
25-01-16,Detroit MI,5.85,Breads
25-01-16,Detroit MI,5.85,Breads
25-01-16,Detroit MI,6.85,Breads
25-01-16,Detroit MI,7.8,Breads
25-01-16,Detroit MI,8.8,Breads
25-01-16,Detroit MI,1,Breads
25-01-16,Detroit MI,1,Breads
25-01-16,Detroit MI,1,Breads
25-01-16,Detroit MI,1,Breads
25-01-16,Detroit MI,1.95,Breads
25-01-16,Detroit MI,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,1.95,Breads
25-01-16,Houston TX,2,Breads
25-01-16,Phoenix AZ,2.95,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Houston TX,3.9,Breads
25-01-16,Phoenix AZ,3.9,Breads
25-01-16,Phoenix AZ,4.9,Breads
25-01-16,Phoenix AZ,5.85,Breads
26-01-16,Houston TX,7.8,Breads
26-01-16,Houston TX,11.7,Breads
26-01-16,Houston TX,1,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,2,Breads
26-01-16,Phoenix AZ,2,Breads
26-01-16,Phoenix AZ,3.9,Breads
26-01-16,Phoenix AZ,3.9,Breads
26-01-16,Phoenix AZ,3.9,Breads
26-01-16,Phoenix AZ,3.9,Breads
26-01-16,Phoenix AZ,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Phoenix AZ,3.95,Breads
26-01-16,Phoenix AZ,3.95,Breads
26-01-16,Atlanta GA,9.8,Breads
26-01-16,Phoenix AZ,1,Breads
26-01-16,Phoenix AZ,1,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,2.95,Breads
26-01-16,Houston TX,2.95,Breads
26-01-16,Houston TX,3.9,Breads
26-01-16,Houston TX,3.9,Breads
26-01-16,Houston TX,3.9,Breads
26-01-16,Houston TX,3.9,Breads
26-01-16,Phoenix AZ,4.9,Breads
26-01-16,Phoenix AZ,4.9,Breads
26-01-16,Phoenix AZ,4.9,Breads
26-01-16,Phoenix AZ,5.85,Breads
26-01-16,Phoenix AZ,5.85,Breads
26-01-16,Phoenix AZ,5.85,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Houston TX,5.9,Breads
26-01-16,Houston TX,6.85,Breads
26-01-16,Houston TX,7.8,Breads
26-01-16,Houston TX,11.7,Breads
26-01-16,Houston TX,11.7,Breads
26-01-16,Houston TX,12.7,Breads
26-01-16,Houston TX,1,Breads
26-01-16,Houston TX,1,Breads
26-01-16,Houston TX,1,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Phoenix AZ,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,2.95,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,1,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,2.95,Breads
26-01-16,Atlanta GA,2.95,Breads
26-01-16,Atlanta GA,2.95,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,3.9,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,5.85,Breads
26-01-16,Atlanta GA,1,Breads
26-01-16,Atlanta GA,1,Breads
26-01-16,Atlanta GA,1,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Atlanta GA,1.95,Breads
26-01-16,Detroit MI,1.95,Breads
26-01-16,Detroit MI,1.95,Breads
26-01-16,Detroit MI,1.95,Breads
26-01-16,Detroit MI,2,Breads
26-01-16,Detroit MI,3.9,Breads
26-01-16,Detroit MI,3.9,Breads
26-01-16,Detroit MI,3.9,Breads
26-01-16,Detroit MI,5.85,Breads
26-01-16,Detroit MI,5.85,Breads
26-01-16,Houston TX,1,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Houston TX,1.95,Breads
26-01-16,Phoenix AZ,3.9,Breads
27-01-16,Houston TX,3.9,Breads
27-01-16,Houston TX,3.9,Breads
27-01-16,Houston TX,3.9,Breads
27-01-16,Houston TX,4.9,Breads
27-01-16,Houston TX,1,Breads
27-01-16,Houston TX,1,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,2,Breads
27-01-16,Phoenix AZ,2,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,4.95,Breads
27-01-16,Phoenix AZ,5.85,Breads
27-01-16,Phoenix AZ,1,Breads
27-01-16,Phoenix AZ,1,Breads
27-01-16,Phoenix AZ,1,Breads
27-01-16,Phoenix AZ,1,Breads
27-01-16,Phoenix AZ,1,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Detroit MI,2,Breads
27-01-16,Atlanta GA,2.95,Breads
27-01-16,Houston TX,2.95,Breads
27-01-16,Houston TX,3.9,Breads
27-01-16,Houston TX,3.9,Breads
27-01-16,Houston TX,5.85,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Phoenix AZ,1.95,Breads
27-01-16,Phoenix AZ,2,Breads
27-01-16,Phoenix AZ,2.95,Breads
27-01-16,Phoenix AZ,2.95,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.95,Breads
27-01-16,Atlanta GA,3.95,Breads
27-01-16,Atlanta GA,4.95,Breads
27-01-16,Atlanta GA,4.95,Breads
27-01-16,Atlanta GA,5.85,Breads
27-01-16,Atlanta GA,5.85,Breads
27-01-16,Atlanta GA,5.85,Breads
27-01-16,Atlanta GA,5.85,Breads
27-01-16,Atlanta GA,8.8,Breads
27-01-16,Atlanta GA,9.75,Breads
27-01-16,Atlanta GA,1,Breads
27-01-16,Atlanta GA,1,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,1.95,Breads
27-01-16,Atlanta GA,2,Breads
27-01-16,Atlanta GA,2.95,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
27-01-16,Atlanta GA,4.9,Breads
27-01-16,Atlanta GA,7.8,Breads
27-01-16,Atlanta GA,9.75,Breads
27-01-16,Atlanta GA,1,Breads
27-01-16,Atlanta GA,1,Breads
27-01-16,Detroit MI,1,Breads
27-01-16,Detroit MI,1,Breads
27-01-16,Detroit MI,1,Breads
27-01-16,Detroit MI,1,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Houston TX,1.95,Breads
27-01-16,Phoenix AZ,2.95,Breads
27-01-16,Houston TX,2.95,Breads
27-01-16,Houston TX,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Phoenix AZ,3.9,Breads
27-01-16,Atlanta GA,3.9,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,4.9,Breads
28-01-16,Houston TX,5.85,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Phoenix AZ,4.9,Breads
28-01-16,Phoenix AZ,5.85,Breads
28-01-16,Phoenix AZ,7.8,Breads
28-01-16,Phoenix AZ,1,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Phoenix AZ,2.95,Breads
28-01-16,Phoenix AZ,2.95,Breads
28-01-16,Phoenix AZ,2.95,Breads
28-01-16,Phoenix AZ,3.9,Breads
28-01-16,Phoenix AZ,5.85,Breads
28-01-16,Phoenix AZ,1,Breads
28-01-16,Phoenix AZ,1,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,2.95,Breads
28-01-16,Houston TX,2.95,Breads
28-01-16,Houston TX,2.95,Breads
28-01-16,Houston TX,2.95,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,5.85,Breads
28-01-16,Houston TX,5.85,Breads
28-01-16,Houston TX,5.9,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Detroit MI,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,1.95,Breads
28-01-16,Houston TX,2.95,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Houston TX,3.9,Breads
28-01-16,Atlanta GA,3.9,Breads
28-01-16,Atlanta GA,1,Breads
28-01-16,Atlanta GA,1,Breads
28-01-16,Phoenix AZ,1,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Phoenix AZ,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,1.95,Breads
28-01-16,Atlanta GA,2,Breads
